field_x,field_y,index_ra,index_dec,field_ra,field_dec,match_weight,mag_auto,flux_auto
2112.133090411634,632.3021236631075,0.09947500775947571,26.918230844110653,0.09482326313584269,26.927134661533,0.9987504963890672,-8.911791801452637,3670.4296875
2115.4869342992993,637.7204537877096,0.5403080727950766,27.084399181374643,0.5704274412845286,27.064723886680202,0.9978944897106523,-9.248712539672852,5005.93115234375
2007.3736413261693,750.3179012182708,1.2218563944346386,34.65955500231714,1.2160340570158314,34.665565451847215,0.9986825705207815,-8.675994873046875,2953.91455078125
2130.538518143495,637.5514363826709,1.2330464013451203,26.648799729664436,1.2574142423383874,26.66056658009308,0.9982527378902161,-8.644545555114746,2869.580322265625
2362.6408023735125,484.6738232223445,1.4247355627139848,13.39628139060434,1.4686848627905902,13.427097352846934,0.9961856472015082,-9.174460411071777,4675.025390625
2100.821046117441,675.3553919955616,2.0965333380484834,29.09082803613451,1.9855708100731881,29.058817639623378,0.6157237576417918,-11.886639595031738,56840.21875
1990.7735580260414,785.8500488299437,2.170909160646027,36.62742693475729,2.1865968215623033,36.619267883127264,0.9974899655342179,-8.751235961914062,3165.879150390625
2161.414929256326,629.129040646871,2.216970010663502,25.46285581944315,2.2146372706246455,25.46808991667943,0.9982507037912886,-8.567059516906738,2671.9228515625
1726.7188913063735,1168.7106449731339,2.2921471967363365,59.15019445984317,2.2624593025639532,59.14033068990754,0.996943645038568,-11.593302726745605,43383.1328125
1590.872324057062,1569.4648423420463,2.332865305819543,79.7147178074104,2.3097015367844356,79.6940308276356,0.9971654266368462,-9.223642349243164,4891.66943359375
2418.0475276494103,473.39945037893955,2.5091097239272333,11.145809161644435,2.5363073832757976,11.169615874947175,0.998433777626942,-9.179118156433105,4695.1259765625
1869.8240268728823,939.2782275056666,2.5801769530742105,46.0722702898704,2.565386155804486,46.089003540733515,0.9979509729566471,-10.089475631713867,10859.0107421875
1986.127035510407,809.0962007776625,3.2093502678909345,37.693663072223536,3.22244451802223,37.724182845722716,0.9974434710484807,-8.808892250061035,3338.541259765625
2352.353915272672,519.7250126569832,3.3089591599207795,15.183616668650933,3.2622908611732018,15.164020946962136,0.9966900062496595,-11.349603652954102,34661.0234375
2150.376140639241,658.0219293764752,3.349720000965102,26.98759360394827,3.3892348293163317,26.965824195656126,0.9969850708698783,-9.248501777648926,5004.9609375
1942.767248737704,861.5367838339164,3.3788719275886385,41.035739160067706,3.406035665279095,41.024788710033995,0.9983277362540643,-9.97477912902832,9770.384765625
2054.4049161036082,744.8848035019229,3.5095244406648742,33.206084713799584,3.505280047515465,33.22458801961751,0.9985079019009472,-8.589156150817871,2726.857421875
2267.1491003385554,578.112425270319,3.650461398481476,20.20669692794805,3.65528743994999,20.20149766671254,0.997528979529068,-10.085229873657227,10816.6279296875
2622.071098092947,409.0587400801334,3.6523169429165674,1.2968661034127205,3.4772428411210536,1.4013354342414432,0.6123541351079803,-7.299993515014648,831.7587280273438
2718.299330365163,389.82431743219024,3.7324702821337983,-3.02735138759507,3.9093493025342556,-3.052420368499445,0.8078496042564691,-6.6788330078125,469.389404296875
2231.908069256516,603.4552900890965,3.732803073917032,22.2842527657394,3.741948834241971,22.29929727839644,0.9971759680781104,-8.43761157989502,2371.616455078125
2477.824135743509,465.3409137479468,3.74493776752753,8.821022230756137,3.7241360838284883,8.804776607713345,0.9986879292034798,-9.273638725280762,5122.18798828125
2149.0975786893287,666.0209484147114,3.793981391874951,27.283475548434964,3.773983906188963,27.31083302661602,0.9976668942055025,-8.56904125213623,2676.80322265625
2533.030058309965,444.16764452890334,3.910833339144676,5.843838072644767,3.7907334389009746,5.99653140172765,0.7908520914210057,-8.263598442077637,2020.408935546875
2570.883348841417,433.75404123875796,3.988711379981172,4.251148326851126,3.9772937302954086,4.223200691776052,0.9841342864816595,-7.405045509338379,916.2588500976562
1916.10995753328,906.1822063059135,4.089593890878233,43.59510695166365,4.07755887999421,43.580409462241114,0.9985984640103295,-8.876372337341309,3552.622802734375
2493.958737042023,465.0596707418044,4.1419011041990235,8.240187492745406,4.131495090134755,8.20003867510227,0.9976978865289649,-9.096076011657715,4349.41064453125
1983.4330879253114,830.6112489057812,4.273056110861902,38.68167692764326,4.250491722988136,38.68417903777403,0.998356980948465,-10.554956436157227,16671.798828125
1863.8208200784711,978.6579427788026,4.287667774030994,47.94741473108334,4.304623789663213,47.94467729154811,0.9963016182242982,-9.615215301513672,7015.94482421875
2627.641388362822,422.6068153080982,4.44853220643339,1.6887044503293716,4.470008385759924,1.6633114801387512,0.987479234528158,-8.868441581726074,3526.76708984375
2442.0711494811976,495.68729696219197,4.571932499733562,11.206281664024827,4.585942873587941,11.213611047349751,0.9992679566799199,-9.488543510437012,6243.34716796875
2013.7891636582954,802.7957796913217,4.582095282028494,36.78532445490354,4.5245015371587325,36.75753956577461,0.9956988938968235,-10.842360496520996,21724.2109375
2092.7640845532524,729.7884772933572,4.659249985224717,31.517234183427234,4.666334075948926,31.517771460082376,0.9986599539848036,-9.214373588562012,4850.0859375
1919.7731393727577,912.9178190295496,4.6756297354621905,43.79114779186221,4.7043024493678836,43.781493713404544,0.9985268371868948,-9.020392417907715,4056.552978515625
2540.6574295241367,460.0193815946442,5.02110333879367,6.292622782070875,4.977174689865633,6.317987660718144,0.980557973163584,-7.733885288238525,1240.3780517578125
2107.1752968921637,724.7497374652609,5.10163527044687,30.935615007153014,5.099879856276153,30.94182445574728,0.9985664504285323,-9.483071327209473,6211.9599609375
